item_stable_id,key,value,value_type
1001,version-counter,1,2
1000,local-title,Microsoft-Windows-Diagnostics-Performance-Operational_Microsoft-Windows-Diagnostics-Performance_101.map,3
1000,version-counter,1,2
999,local-title,Microsoft-Windows-Diagnostics-Performance-Operational_Microsoft-Windows-Diagnostics-Performance_100.map,3
999,version-counter,1,2
998,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_6.map,3
998,version-counter,1,2
997,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_8.map,3
997,version-counter,1,2
996,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_7.map,3
996,version-counter,1,2
995,local-title,Microsoft-Windows-TaskScheduler-Operational_Microsoft-Windows-TaskScheduler_201.map,3
995,version-counter,1,2
994,local-title,Microsoft-Windows-TerminalServices-Gateway-Operational_Microsoft-Windows-TerminalServices-Gateway_200.map,3
994,version-counter,1,2
993,local-title,Microsoft-Windows-TaskScheduler-Operational_Microsoft-Windows-TaskScheduler_129.map,3
993,version-counter,1,2
992,local-title,Microsoft-Windows-TaskScheduler-Operational_Microsoft-Windows-TaskScheduler_140.map,3
992,version-counter,1,2
991,local-title,Microsoft-Windows-Storage-Storport-Operational_Microsoft-Windows-StorPort_504.map,3
991,version-counter,1,2
990,local-title,Microsoft-Windows-Bits-Client-Operational_Microsoft-Windows-Bits-Client_59.map,3
990,version-counter,1,2
989,local-title,Microsoft-Windows-Bits-Client-Operational_Microsoft-Windows-Bits-Client_5.map,3
989,version-counter,1,2
988,local-title,Microsoft-Windows-AppLocker-PackagedApp-Execution_Microsoft-Windows-AppLocker_8020.map,3
988,version-counter,1,2
987,local-title,Microsoft-Windows-Bits-Client-Operational_Microsoft-Windows-Bits-Client_4.map,3
987,version-counter,1,2
986,local-title,Microsoft-Windows-Storsvc-Diagnostic_Microsoft-Windows-Storsvc_1001.map,3
986,version-counter,1,2
985,local-title,Application_WSH_0.map,3
985,version-counter,1,2
984,local-title,Microsoft-Windows-Shell-Core-Operational_Microsoft-Windows-Shell-Core_9708.map,3
984,version-counter,1,2
983,local-title,Microsoft-Windows-Shell-Core-Operational_Microsoft-Windows-Shell-Core_9703.map,3
983,version-counter,1,2
982,local-title,Microsoft-Windows-Shell-Core-Operational_Microsoft-Windows-Shell-Core_9707.map,3
982,version-counter,1,2
981,local-title,Microsoft-Windows-Shell-Core-Operational_Microsoft-Windows-Shell-Core_9704.map,3
981,version-counter,1,2
980,local-title,Microsoft-Windows-Shell-Core-Operational_Microsoft-Windows-Shell-Core_9709.map,3
980,version-counter,1,2
979,local-title,Microsoft-Windows-Ntfs-Operational_Microsoft-Windows-Ntfs_145.map,3
979,version-counter,1,2
585,local-title,WxTCmd.exe,3
585,version-counter,2,2
978,local-title,Application_HitmanPro-Alert_911.map,3
978,version-counter,1,2
977,local-title,Application_Microsoft-Windows-Audit-CVE_1.map,3
977,version-counter,1,2
976,local-title,Application_ESENT_325.map,3
976,version-counter,1,2
975,local-title,Application_MetaFrameEvents_1106.map,3
975,version-counter,1,2
974,local-title,Application_ESENT_326.map,3
974,version-counter,1,2
973,local-title,Application_MsiInstaller_1033.map,3
973,version-counter,1,2
972,local-title,Application_Microsoft-Windows-Winsrv_10002.map,3
972,version-counter,1,2
971,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_26.map,3
971,version-counter,1,2
970,local-title,Microsoft-Windows-TerminalServices-RemoteConnectionManager-Operational_Microsoft-Windows-TerminalServices-RemoteConnectionManager_261.map,3
970,version-counter,1,2
969,local-title,bstrings.exe,3
969,version-counter,1,2
968,local-title,Cisco-AnyConnect-Secure-Mobility-Client_acvpnagent_2127.map,3
968,version-counter,1,2
967,local-title,Application_MSSQLSERVER_33205.map,3
967,version-counter,1,2
966,local-title,Application_MSSQLSERVER_18456.map,3
966,version-counter,1,2
965,local-title,Application_Sophos-System-Protection_42.map,3
965,version-counter,1,2
964,local-title,Application_Symantec_4003.map,3
964,version-counter,1,2
963,local-title,Application_Sophos-Anti-Virus_32.map,3
963,version-counter,1,2
962,local-title,Application_MsiInstaller_11724.map,3
962,version-counter,1,2
961,local-title,Application_MsiInstaller_11708.map,3
961,version-counter,1,2
960,local-title,JLECmd.exe,3
960,version-counter,1,2
959,local-title,Microsoft-Windows-Ntfs-Operational_Microsoft-Windows-Ntfs_146.map,3
959,version-counter,1,2
958,local-title,Microsoft-Windows-PrintService-Operational_Microsoft-Windows-PrintService_307.map,3
958,version-counter,1,2
957,local-title,Microsoft-Windows-Ntfs-Operational_Microsoft-Windows-Ntfs_151.map,3
957,version-counter,1,2
956,local-title,Microsoft-Windows-PowerShell-Operational_Microsoft-Windows-PowerShell_4104.map,3
956,version-counter,1,2
955,local-title,Microsoft-Windows-Partition-Diagnostic_Microsoft-Windows-Partition_1006.map,3
955,version-counter,1,2
954,local-title,Microsoft-Windows-Ntfs-Operational_Ntfs_55.map,3
954,version-counter,1,2
953,local-title,SrumECmd.exe,3
953,version-counter,1,2
952,local-title,Microsoft-Windows-Application-Experience-Program-Telemetry_Microsoft-Windows-Application-Experience_500.map,3
952,version-counter,1,2
951,local-title,COMODO-Client-Security-CEF_File-Rating_3.map,3
951,version-counter,1,2
950,local-title,Cisco-AnyConnect-Secure-Mobility-Client_acvpnagent_2085.map,3
950,version-counter,1,2
949,local-title,Cisco-AnyConnect-Secure-Mobility-Client_acvpnagent_2086.map,3
949,version-counter,1,2
948,local-title,Microsoft-Windows-Application-Experience-Program-Compatibility-Assistant_Microsoft-Windows-Program-Compatibility-Assistant_17.map,3
948,version-counter,1,2
947,local-title,Microsoft-Windows-AppLocker-EXE-and-DLL_Microsoft-Windows-AppLocker_8002.map,3
947,version-counter,1,2
946,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_22.map,3
946,version-counter,1,2
945,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_27.map,3
945,version-counter,1,2
944,local-title,Microsoft-Windows-TaskScheduler-Operational_Microsoft-Windows-TaskScheduler_141.map,3
944,version-counter,1,2
943,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_4.map,3
943,version-counter,1,2
942,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_3.map,3
942,version-counter,1,2
941,local-title,Microsoft-Windows-Sysmon-Operational_Microsoft-Windows-Sysmon_24.map,3
941,version-counter,1,2
940,local-title,Application_MsiInstaller_1034.map,3
