RunTime,ExecutableName
2024-12-06 16:57:07.7424081,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9173\DISCORD.EXE
2024-12-05 10:53:06.6779054,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9173\DISCORD.EXE
2024-12-05 10:52:03.6820504,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9173\DISCORD.EXE
2024-12-05 10:13:41.9516946,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9173\DISCORD.EXE
2025-01-23 14:34:03.3638300,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 10:01:56.0552372,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-22 20:07:34.7957521,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 14:34:11.1004607,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 14:34:04.9349296,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 14:34:09.0473712,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 14:34:04.5216811,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 14:34:04.1831619,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 21:26:38.8839617,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 14:34:30.2984578,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 14:34:04.6718404,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 21:26:28.1420601,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 14:34:14.3546932,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 21:26:28.1984378,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2025-01-23 14:34:14.3718689,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9179\DISCORD.EXE
2024-12-17 21:19:23.9271944,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9174\DISCORD.EXE
2024-12-16 07:01:20.8172597,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9174\DISCORD.EXE
2024-12-15 22:40:51.8041060,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9174\DISCORD.EXE
2024-12-15 16:23:31.6018123,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9174\DISCORD.EXE
2024-12-14 20:23:46.8549519,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9174\DISCORD.EXE
2024-12-13 20:27:03.7991637,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9174\DISCORD.EXE
2024-12-12 20:19:41.5580629,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9174\DISCORD.EXE
2025-01-07 11:28:28.2603066,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9175\DISCORD.EXE
2025-01-06 14:35:11.4932807,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9175\DISCORD.EXE
2025-01-05 15:22:17.7678322,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9175\DISCORD.EXE
2025-01-04 18:46:10.1812202,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9175\DISCORD.EXE
2025-01-03 18:31:28.6712661,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9175\DISCORD.EXE
2024-12-30 20:58:05.9174869,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9175\DISCORD.EXE
2024-12-29 19:45:43.3877444,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9175\DISCORD.EXE
2024-12-28 19:46:05.9856749,\VOLUME{01d9f43f0324b581-a6032e67}\USERS\SAMI\APPDATA\LOCAL\DISCORD\APP-1.0.9175\DISCORD.EXE
2025-01-23 21:59:39.6786670,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DISM\DISMHOST.EXE
2025-01-23 21:59:38.4122567,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DISM\DISMHOST.EXE
2025-01-23 16:40:13.5649755,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-23 10:07:19.6128763,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-22 12:13:05.1207915,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-21 22:11:50.6372147,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-20 08:11:47.0537029,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-19 18:13:28.9703214,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-17 20:05:12.8911762,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-17 16:35:11.3347686,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-16 11:19:05.9053996,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-23 21:26:09.0873775,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-23 18:43:06.6406125,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-23 14:32:24.1704844,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-23 14:31:59.3412228,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-01-23 21:57:52.3464423,\VOLUME{01d9f43f0324b581-a6032e67}\WINDOWS\SYSTEM32\DLLHOST.EXE
